genes,coordinates
YKR055W,chrXI:559855-559914:+
YKR056W,chrXI:561264-561324:+
YKL206C,chrXI:56214-56258:-
YKR057W,chrXI:563308-563352:+
YKL205W,chrXI:56400-56438:+
YKR058W,chrXI:564302-564476:+
YKR059W,chrXI:566598-566672:+
YKR060W,chrXI:568159-568213:+
YKR061W,chrXI:569246-569472:+
YKR062W,chrXI:571249-571365:+
YKR063C,chrXI:574016-574043:-
YKR064W,chrXI:574216-574227:+
YKR065C,chrXI:577593-577660:-
YKR066C,chrXI:578899-578961:-
YKR067W,chrXI:579508-579613:+
YKR068C,chrXI:582603-582683:-
YKR069W,chrXI:583145-583176:+
YKR070W,chrXI:585253-585320:+
YKR071C,chrXI:587685-587771:-
YKR072C,chrXI:589960-590058:-
YKR074W,chrXI:596769-596858:+
YKR075C,chrXI:598418-598577:-
YKR076W,chrXI:599747-599916:+
YKL204W,chrXI:60046-60073:+
YKR077W,chrXI:601184-601274:+
YKR078W,chrXI:602550-602602:+
YKR079C,chrXI:607189:-
YKR080W,chrXI:607861-607976:+
YKR081C,chrXI:610192-610233:-
YKR082W,chrXI:610406-610453:+
YKR083C,chrXI:614501-614552:-
YKR084C,chrXI:616539-616622:-
YKR085C,chrXI:617324-617345:-
YKR086W,chrXI:617460-617496:+
YKR087C,chrXI:621866-621923:-
YKR088C,chrXI:623050-623086:-
YKR089C,chrXI:626056-626100:-
YKR090W,chrXI:626383-626489:+
YKR091W,chrXI:629035-629144:+
YKR093W,chrXI:633282-633283:+
YKR095W,chrXI:637271-637288:+
YKR095W-A,chrXI:643440-643490:+
YKR096W,chrXI:644346-644368:+
YKR097W,chrXI:648718-648760:+
YKR098C,chrXI:652884-652944:-
YKR099W,chrXI:653196-653222:+
YKR100C,chrXI:657944-657986:-
YKR101W,chrXI:658140-658170:+
YKL203C,chrXI:69910-69947:-
YKL201C,chrXI:73906-74152:-
YKL198C,chrXI:76641-76709:-
YKL197C,chrXI:80243-80286:-
YKL196C,chrXI:81925-82010:-
YKL195W,chrXI:82150-82202:+
YKL194C,chrXI:85054-85119:-
YKL193C,chrXI:86293-86365:-
YKL192C,chrXI:86952-87027:-
YKL191W,chrXI:87408-87426:+
YKL190W,chrXI:89287-89335:+
YKL189W,chrXI:91269-91368:+
YKL188C,chrXI:95554-95672:-
YKL187C,chrXI:98287-98359:-
YLL022C,chrXII:100757-100853:-
YLR455W,chrXII:1008832-1008933:+
YLR456W,chrXII:1010533-1010601:+
YLR457C,chrXII:1012256-1012308:-
YLR459W,chrXII:1012782-1012833:+
YLL021W,chrXII:101407-101447:+
YLL019C,chrXII:108750-108955:-
YLL018C-A,chrXII:109593-109783:-
YLL018C,chrXII:112195-112282:-
YLL015W,chrXII:116846-116985:+
YLL014W,chrXII:121910-121933:+
YLL013C,chrXII:125574-125599:-
YLL012W,chrXII:126069-126115:+
YLL011W,chrXII:128125-128133:+
YLL010C,chrXII:131414-131507:-
YLL009C,chrXII:132064-132120:-
YLL007C,chrXII:136992-137024:-
YLL006W,chrXII:137150-137186:+
YLL004W,chrXII:141667-141686:+
YLL003W,chrXII:143760-143815:+
YLL002W,chrXII:146856-146910:+
YLL001W,chrXII:148442-148479:+
YLR001C,chrXII:154822-154867:-
YLR002C,chrXII:157210-157230:-
YLR003C,chrXII:158579-158637:-
YLR004C,chrXII:160336-160432:-
YLR005W,chrXII:160823-161001:+
YLR006C,chrXII:164861-164919:-
YLR007W,chrXII:165213-165249:+
YLR008C,chrXII:166976-167043:-
YLR009W,chrXII:167190-167235:+
YLR010C,chrXII:168648-168673:-
YLR011W,chrXII:169827-169888:+
YLR015W,chrXII:175963-176015:+
YLR016C,chrXII:178214-178282:-
YLR017W,chrXII:178390-178470:+
YLL062C,chrXII:18038-18148:-
YLR018C,chrXII:180438-180501:-
YLR019W,chrXII:180776-180899:+
YLL061W,chrXII:18328-18365:+
YLR020C,chrXII:184229-184248:-
YLR021W,chrXII:184374-184435:+
YLR022C,chrXII:185695-185760:-
YLR023C,chrXII:188000-188124:-
YLR024C,chrXII:194124:-
YLR025W,chrXII:195160-195240:+
YLR026C,chrXII:197264-197389:-
YLR027C,chrXII:198855-198942:-
YLR028C,chrXII:202130-202352:-
YLR029C,chrXII:203400-203498:-
YLR030W,chrXII:203961-204053:+
YLR032W,chrXII:205729-205757:+
YLR033W,chrXII:209480-209561:+
YLR034C,chrXII:212779-212807:-
YLR035C,chrXII:215262-215286:-
YLR038C,chrXII:220026-220114:-
YLL060C,chrXII:22206-22287:-
YLR043C,chrXII:226873-226975:-
YLR044C,chrXII:228846-229006:-
YLR045C,chrXII:232559-232651:-
YLR047C,chrXII:236484-236552:-
YLR048W,chrXII:236974-237061:+
YLL058W,chrXII:23875-23941:+
YLR049C,chrXII:239997-240074:-
YLR050C,chrXII:240907-241039:-
YLR051C,chrXII:241830-241854:-
YLR052W,chrXII:241961-242037:+
YLR053C,chrXII:243272-243314:-
YLR055C,chrXII:247806-247983:-
YLR056W,chrXII:248567-248650:+
YLR057W,chrXII:250028-250083:+
YLR058C,chrXII:254252-254334:-
YLR059C,chrXII:255317-255400:-
YLR060W,chrXII:255736-255783:+
YLR061W,chrXII:257929-257989:+
YLR064W,chrXII:260254-260269:+
YLR065C,chrXII:261753-261792:-
YLR066W,chrXII:261906-261960:+
YLR067C,chrXII:265613:-
YLR068W,chrXII:265732-265808:+
YLR069C,chrXII:268731-268769:-
YLR070C,chrXII:270028-270129:-
YLR071C,chrXII:273461-273491:-
YLR072W,chrXII:273637-273690:+
YLL057C,chrXII:27416-27424:-
YLR074C,chrXII:277291-277343:-
YLR075W,chrXII:277643-277733:+
YLR077W,chrXII:278610-278704:+
YLR078C,chrXII:281424-281469:-
YLR079W,chrXII:281544-281594:+
YLR082C,chrXII:288413-288452:-
YLL056C,chrXII:28873:-
YLR083C,chrXII:290946-291087:-
YLR084C,chrXII:295118-295139:-
YLR085C,chrXII:296790-296854:-
YLR086W,chrXII:296968-297017:+
YLL055W,chrXII:30469-30481:+
YLR088W,chrXII:310863-310918:+
YLR089C,chrXII:314925-315220:-
YLR090W,chrXII:315419-315541:+
YLR091W,chrXII:317028-317110:+
YLR092W,chrXII:318298-318341:+
YLR093C,chrXII:322274-322333:-
YLR094C,chrXII:324058-324182:-
YLR095C,chrXII:326967-326995:-
YLR096W,chrXII:327207-327246:+
YLR097C,chrXII:332153-332183:-
YLR098C,chrXII:334311-334392:-
YLR099C,chrXII:335738-335878:-
YLR099W-A,chrXII:336048-336223:+
YLR100W,chrXII:336549-336648:+
YLR102C,chrXII:338611-338689:-
YLR103C,chrXII:340814-340890:-
YLR104W,chrXII:341386-341437:+
YLR105C,chrXII:343007-343067:-
YLL054C,chrXII:35822-35852:-
YLR107W,chrXII:358924-358956:+
YLR108C,chrXII:363074-363162:-
YLR109W,chrXII:363473-363673:+
YLR110C,chrXII:364985-365311:-
YLR113W,chrXII:366340-366413:+
YLR114C,chrXII:371857-371875:-
YLR115W,chrXII:372509-372529:+
YLR116W,chrXII:375373-375431:+
YLR117C,chrXII:379078-379130:-
YLR118C,chrXII:379943-380028:-
YLR119W,chrXII:380113-380159:+
YLR120C,chrXII:382811-382954:-
YLR121C,chrXII:384845-384854:-
YLR126C,chrXII:390076-390169:-
YLR127C,chrXII:392922-392964:-
YLR128W,chrXII:393022-393025:+
YLR130C,chrXII:398607-398809:-
YLL051C,chrXII:40114-40188:-
YLR132C,chrXII:402735-402793:-
YLR133W,chrXII:402893-402980:+
YLR135W,chrXII:407784-407830:+
YLL050C,chrXII:41054-41091:-
YLR136C,chrXII:411234-411342:-
YLR137W,chrXII:411545-411582:+
YLL049W,chrXII:41264-41316:+
YLR138W,chrXII:412835-412860:+
YLR139C,chrXII:418040-418085:-
YLR141W,chrXII:418185-418239:+
YLR142W,chrXII:419644-419763:+
YLR143W,chrXII:422532-422563:+
YLR144C,chrXII:427254-427296:-
YLR145W,chrXII:427398-427406:+
YLR146C,chrXII:429002-429025:-
YLR146W-A,chrXII:429090-429116:+
YLR147C,chrXII:429686-429755:-
YLR148W,chrXII:429823-429878:+
YLR149C,chrXII:435091-435206:-
YLR150W,chrXII:435549-435692:+
YLR151C,chrXII:437960-438034:-
YLR152C,chrXII:439933-440099:-
YLR153C,chrXII:442775-442932:-
YLR154C,chrXII:443492-443665:-
YLR163C,chrXII:464414-464449:-
YLR164W,chrXII:464869-465047:+
YLR165C,chrXII:466391-466455:-
YLR166C,chrXII:469231-469287:-
YLR167W,chrXII:469992-470090:+
YLL048C,chrXII:47038-47066:-
YLR168C,chrXII:471425-471490:-
YLR170C,chrXII:472224-472256:-
YLR172C,chrXII:473324-473360:-
YLR173W,chrXII:473463-473557:+
YLR174W,chrXII:475630-475720:+
YLR175W,chrXII:477184-477272:+
YLL046C,chrXII:48004-48217:-
YLR176C,chrXII:481269-481366:-
YLR177W,chrXII:482141-482185:+
YLR179C,chrXII:485928-485960:-
YLR180W,chrXII:486295-486376:+
YLR181C,chrXII:488850-488926:-
YLR182W,chrXII:489041-489078:+
YLL045C,chrXII:49251-49317:-
YLR183C,chrXII:493194-493323:-
YLR185W,chrXII:493751-493799:+
YLR186W,chrXII:494723-494746:+
YLR187W,chrXII:495791-495794:+
YLR188W,chrXII:499372-499396:+
YLL043W,chrXII:50453-50529:+
YLR189C,chrXII:505566-505634:-
YLR190W,chrXII:505887-506054:+
YLR191W,chrXII:508351-508401:+
YLR192C,chrXII:510754-510852:-
YLR193C,chrXII:511692-511775:-
YLR194C,chrXII:512682-512852:-
YLR195C,chrXII:514443-514496:-
YLR196W,chrXII:515042-515048:+
YLR197W,chrXII:517205-517230:+
YLR199C,chrXII:519964-520006:-
YLR200W,chrXII:520066-520153:+
YLR201C,chrXII:521440-521518:-
YLR203C,chrXII:523184-523229:-
YLR204W,chrXII:523374-523433:+
YLR205C,chrXII:524829-525034:-
YLR206W,chrXII:525550-525665:+
YLR207W,chrXII:527874-527976:+
YLR208W,chrXII:530603-530718:+
YLR209C,chrXII:532895-533012:-
YLR210W,chrXII:533101-533160:+
YLR211C,chrXII:535750-535797:-
YLR212C,chrXII:537466-537515:-
YLR213C,chrXII:539030-539191:-
YLR214W,chrXII:539528-539723:+
YLR215C,chrXII:543067-543105:-
YLR216C,chrXII:544382-544530:-
YLR219W,chrXII:545124-545163:+
YLL041C,chrXII:54517-54621:-
YLR218C,chrXII:545330-545360:-
YLR220W,chrXII:547832-547916:+
YLR221C,chrXII:550229-550254:-
YLR223C,chrXII:556982-557004:-
YLR224W,chrXII:557498-557622:+
YLR225C,chrXII:560112-560193:-
YLR226W,chrXII:560484-560538:+
YLR227C,chrXII:563359-563444:-
YLR228C,chrXII:567936-567997:-
YLR229C,chrXII:570238-570312:-
YLR231C,chrXII:572742-572800:-
YLR233C,chrXII:575177-575189:-
YLR234W,chrXII:575335-575362:+
YLR237W,chrXII:577909-577951:+
YLR238W,chrXII:580281-580314:+
YLR239C,chrXII:582935-582979:-
YLR240W,chrXII:583084-583154:+
YLR241W,chrXII:585987-586084:+
YLR242C,chrXII:589546-589591:-
YLR243W,chrXII:589715-589790:+
YLR244C,chrXII:591960-591979:-
YLR245C,chrXII:592549-592612:-
YLR246W,chrXII:592690-592738:+
YLR247C,chrXII:598956-598998:-
YLR248W,chrXII:599760-599850:+
YLR249W,chrXII:602258-602387:+
YLR250W,chrXII:605846-605894:+
YLR251W,chrXII:606942-607017:+
YLR253W,chrXII:608129-608200:+
YLR254C,chrXII:610558-610726:-
YLR256W,chrXII:611738-611760:+
YLR257W,chrXII:618281-618406:+
YLR258W,chrXII:620249-620403:+
YLR259C,chrXII:624723-624771:-
YLR260W,chrXII:625372-625466:+
YLR262C,chrXII:628583-628654:-
YLR262C-A,chrXII:629346-629442:-
YLR263W,chrXII:629883-630004:+
YLR264W,chrXII:632734-632794:+
YLR266C,chrXII:637415-637430:-
YLR267W,chrXII:637770-637874:+
YLR268W,chrXII:639789-639830:+
YLR270W,chrXII:640723-640799:+
YLR271W,chrXII:642402-642490:+
YLL040C,chrXII:64345-64364:-
YLR272C,chrXII:646927-646964:-
YLR273C,chrXII:651078-651431:-
YLR274W,chrXII:651543-651586:+
YLR275W,chrXII:654352-654363:+
YLR276C,chrXII:656920-656958:-
YLL039C,chrXII:65807-65973:-
YLR277C,chrXII:659621-659636:-
YLR278C,chrXII:664059-664103:-
YLR281C,chrXII:664930-664987:-
YLR283W,chrXII:665086-665158:+
YLR284C,chrXII:667010-667125:-
YLR285W,chrXII:667277-667328:+
YLR286C,chrXII:670296-670318:-
YLL038C,chrXII:67154-67172:-
YLR287C,chrXII:672057-672112:-
YLR288C,chrXII:674771-674883:-
YLR289W,chrXII:674950-674994:+
YLR290C,chrXII:677838-677936:-
YLR291C,chrXII:679408-679477:-
YLR292C,chrXII:680289-680361:-
YLR293C,chrXII:681368-681437:-
YLR295C,chrXII:682266-682406:-
YLR297W,chrXII:683746-683879:+
YLR298C,chrXII:685333-685372:-
YLR299W,chrXII:685784-685911:+
YLL036C,chrXII:68868-68909:-
YLR300W,chrXII:688722-688783:+
YLR301W,chrXII:690643-690761:+
YLR303W,chrXII:691985-692102:+
YLR304C,chrXII:697128-697229:-
YLR305C,chrXII:703473-703494:-
YLR306W,chrXII:703649-703664:+
YLR307W,chrXII:705106-705167:+
YLR307C-A,chrXII:706628-706908:-
YLR308W,chrXII:707407-707482:+
YLR309C,chrXII:711358-711402:-
YLR310C,chrXII:716704-716736:-
YLR312C,chrXII:718414-718601:-
YLR312W-A,chrXII:719008-719060:+
YLR313C,chrXII:721936-721975:-
YLR314C,chrXII:723724-723782:-
YLR315W,chrXII:724305-724370:+
YLR318W,chrXII:726094-726144:+
YLR319C,chrXII:731284-731328:-
YLR320W,chrXII:731457-731497:+
YLR321C,chrXII:737438-737491:-
YLL034C,chrXII:73788-73804:-
YLR323C,chrXII:738495-738592:-
YLR324W,chrXII:738702-738770:+
YLL033W,chrXII:73989-74028:+
YLR325C,chrXII:740950-741041:-
YLR326W,chrXII:741573-741724:+
YLR327C,chrXII:742928-743080:-
YLR328W,chrXII:744368:+
YLR329W,chrXII:745901-746019:+
YLR330W,chrXII:747164-747220:+
YLR332W,chrXII:749673-749855:+
YLR333C,chrXII:761421:-
YLR335W,chrXII:762826-762928:+
YLR336C,chrXII:767930-767969:-
YLR337C,chrXII:770627-770708:-
YLR340W,chrXII:771312-771372:+
YLL032C,chrXII:77411-77474:-
YLR342W,chrXII:775231-775249:+
YLR343W,chrXII:781499-781540:+
YLR344W,chrXII:784751-784802:+
YLR345W,chrXII:785912-786009:+
YLR346C,chrXII:788132-788313:-
YLR347C,chrXII:792009-792104:-
YLR348C,chrXII:793332-793471:-
YLR350W,chrXII:794095-794219:+
YLR351C,chrXII:795824-795903:-
YLR352W,chrXII:796411-796493:+
YLR354C,chrXII:802813-802936:-
YLR355C,chrXII:804741-804890:-
YLR356W,chrXII:805716-805811:+
YLR357W,chrXII:806751-806775:+
YLL031C,chrXII:80873-80887:-
YLR359W,chrXII:809618-809709:+
YLR361C,chrXII:814630-814668:-
YLR361C-A,chrXII:815156-815208:-
YLR362W,chrXII:815279-815335:+
YLR363C,chrXII:818682-818742:-
YLR363W-A,chrXII:818911-818939:+
YLL029W,chrXII:81923-81972:+
YLR364W,chrXII:819441-819542:+
YLR368W,chrXII:822955-822975:+
YLR369W,chrXII:824964-825018:+
YLR370C,chrXII:827746-827801:-
YLR371W,chrXII:828000-828013:+
YLR372W,chrXII:832636-832783:+
YLR373C,chrXII:836837-836897:-
YLR375W,chrXII:837089-837168:+
YLR376C,chrXII:839069-839101:-
YLR377C,chrXII:840302-840421:-
YLR378C,chrXII:842834-842955:-
YLR380W,chrXII:843551-843721:+
YLR381W,chrXII:845107-845147:+
YLR382C,chrXII:850280-850288:-
YLR383W,chrXII:850646-850668:+
YLL028W,chrXII:85272-85316:+
YLR385C,chrXII:858856-858882:-
YLR386W,chrXII:859020-859082:+
YLR387C,chrXII:863145-863238:-
YLR388W,chrXII:864099:+
YLR389C,chrXII:868067-868184:-
YLR390W,chrXII:868306-868346:+
YLR390W-A,chrXII:869088-869178:+
YLR392C,chrXII:871867-871983:-
YLR393W,chrXII:872451-872519:+
YLR395C,chrXII:875393-875539:-
YLR396C,chrXII:877792-877821:-
YLL027W,chrXII:87800-88017:+
YLR397C,chrXII:880349-880378:-
YLR398C,chrXII:884501-884513:-
YLR399C,chrXII:887080-887128:-
YLR401C,chrXII:889944-889961:-
YLL026W,chrXII:89068-89274:+
YLR404W,chrXII:894152-894216:+
YLR405W,chrXII:895227-895249:+
YLR407W,chrXII:898147-898253:+
YLR408C,chrXII:899639-899680:-
YLR410W,chrXII:902910-902943:+
YLR411W,chrXII:906602-906703:+
YLR412W,chrXII:907796-907852:+
YLR413W,chrXII:910563-910574:+
YLR414C,chrXII:913704-913823:-
YLR417W,chrXII:914374-914436:+
YLR418C,chrXII:917585-917665:-
YLR419W,chrXII:917831-917848:+
YLR420W,chrXII:923482-923567:+
YLR421C,chrXII:925344-925437:-
YLR422W,chrXII:925573-925596:+
YLR423C,chrXII:932988-933035:-
YLR424W,chrXII:933135-933176:+
YLR425W,chrXII:937554-937570:+
YLR426W,chrXII:941878-941902:+
YLR427W,chrXII:943153-943208:+
YLR429W,chrXII:945571-945613:+
YLR430W,chrXII:947951-948011:+
YLR431C,chrXII:956637-956718:-
YLR432W,chrXII:957248-957326:+
YLR433C,chrXII:960953-961006:-
YLR435W,chrXII:961121-961161:+
YLR436C,chrXII:966110-966176:-
YLR437C,chrXII:966712-966939:-
YLR438W,chrXII:967276-967373:+
YLR438C-A,chrXII:969033-969114:-
YLR439W,chrXII:969249-969325:+
YLR440C,chrXII:972549-972649:-
YLR441C,chrXII:973763-973859:-
YLR442C,chrXII:977121-977167:-
YLR443W,chrXII:977295-977381:+
YLR445W,chrXII:978956-979054:+
YLR446W,chrXII:979964-980078:+
YLL024C,chrXII:98133-98253:-
YLR447C,chrXII:982761-982806:-
YLR448W,chrXII:983595-983675:+
YLR449W,chrXII:985614-985655:+
YLR450W,chrXII:987461-987485:+
YLR451W,chrXII:990833-990873:+
YLL023C,chrXII:99470-99546:-
YGL263W,chrXII:9959-9998:+
YLR453C,chrXII:997887-997908:-
YLR454W,chrXII:998714-998751:+
YML080W,chrXIII:103248-103285:+
YML079W,chrXIII:104775-104843:+
YML078W,chrXIII:105539-105586:+
YML077W,chrXIII:106396-106450:+
YML076C,chrXIII:109932-110023:-
YML128C,chrXIII:11221-11427:-
YML075C,chrXIII:113550-113718:-
YML127W,chrXIII:11563-11647:+
YML074C,chrXIII:115912-115974:-
YML073C,chrXIII:118766-118808:-
YML072C,chrXIII:124025-124162:-
YML071C,chrXIII:126101-126214:-
YML070W,chrXIII:127850-127932:+
YML069W,chrXIII:129898-129972:+
YML068W,chrXIII:131940-131993:+
YML067C,chrXIII:134719-134754:-
YML065W,chrXIII:136572-136679:+
YML064C,chrXIII:140368-140485:-
YML063W,chrXIII:140869-140965:+
YML062C,chrXIII:143175-143226:-
YML061C,chrXIII:146129-146185:-
YML060W,chrXIII:146279-146323:+
YML059C,chrXIII:152782-152809:-
YML058W-A,chrXIII:153194-153196:+
YML058W,chrXIII:153800-153908:+
YML057W,chrXIII:154559-154678:+
YML056C,chrXIII:158761-158849:-
YML055W,chrXIII:159206-159276:+
YML054C,chrXIII:161812-161923:-
YML125C,chrXIII:16255-16335:-
YML053C,chrXIII:163907-164002:-
YML052W,chrXIII:164465-164547:+
YML051W,chrXIII:165653-165739:+
YML050W,chrXIII:167254-167302:+
YML048W,chrXIII:172490-172560:+
YML049C,chrXIII:172670-172678:-
YML046W,chrXIII:175453-175484:+
YML042W,chrXIII:180818-181029:+
YML124C,chrXIII:18279-18291:-
YML041C,chrXIII:183964-184000:-
YML038C,chrXIII:186781-186932:-
YML037C,chrXIII:188107-188133:-
YML036W,chrXIII:188221-188277:+
YML035C,chrXIII:191640-191723:-
YML034W,chrXIII:192050-192138:+
YML031W,chrXIII:196793-196832:+
YML030W,chrXIII:199023-199086:+
YML029W,chrXIII:199904-200006:+
YML028W,chrXIII:202671-202795:+
YML027W,chrXIII:203973-203993:+
YML123C,chrXIII:20413:-
YML025C,chrXIII:208046-208084:-
YML024W,chrXIII:208487-208519:+
YML023C,chrXIII:211354-211386:-
YML022W,chrXIII:211521-211574:+
YML021C,chrXIII:213426-213501:-
YML020W,chrXIII:213612-213654:+
YML121W,chrXIII:21370-21461:+
YML019W,chrXIII:216072-216114:+
YML018C,chrXIII:218703-218768:-
YML016C,chrXIII:224424-224460:-
YML015C,chrXIII:225681-225777:-
YML014W,chrXIII:225821-225865:+
YML013W,chrXIII:226752-226788:+
YML012W,chrXIII:228650-228761:+
YML011C,chrXIII:230056-230134:-
YML010W,chrXIII:230264-230311:+
YML009C,chrXIII:234186-234205:-
YML008C,chrXIII:235628-235927:-
YML007W,chrXIII:236269-236415:+
YML006C,chrXIII:241209-241288:-
YML005W,chrXIII:243195-243198:+
YML120C,chrXIII:24404-24471:-
YML004C,chrXIII:245636-245739:-
YML002W,chrXIII:246409-246481:+
YML001W,chrXIII:250046-250092:+
YML119W,chrXIII:25062-25165:+
YMR001C,chrXIII:254154-254236:-
YMR002W,chrXIII:255052-255185:+
YMR003W,chrXIII:256043-256069:+
YMR004W,chrXIII:256885-256943:+
YMR005W,chrXIII:258904-259014:+
YMR006C,chrXIII:262691-262806:-
YMR008C,chrXIII:265642-265805:-
YMR009W,chrXIII:267047-267099:+
YML118W,chrXIII:26765-26914:+
YMR010W,chrXIII:267838-267905:+
YMR011W,chrXIII:270931-271090:+
YMR012W,chrXIII:274018-274064:+
YMR013C,chrXIII:279773-279831:-
YMR014W,chrXIII:281854-281871:+
YMR015C,chrXIII:285540-285688:-
YML117W,chrXIII:28665-28741:+
YMR016C,chrXIII:288617-288708:-
YMR017W,chrXIII:290320-290382:+
YMR018W,chrXIII:293161-293318:+
YMR020W,chrXIII:298240-298351:+
YMR021C,chrXIII:301427-301475:-
YMR022W,chrXIII:301590-301705:+
YMR023C,chrXIII:304001-304080:-
YMR024W,chrXIII:305208-305244:+
YMR025W,chrXIII:306587-306637:+
YMR026C,chrXIII:308843-308892:-
YMR027W,chrXIII:309113-309190:+
YMR028W,chrXIII:310752-310822:+
YMR029C,chrXIII:313576-313647:-
YMR030W,chrXIII:314098-314154:+
YMR031C,chrXIII:318100-318230:-
YMR032W,chrXIII:318522-318566:+
YMR033W,chrXIII:321081-321100:+
YMR034C,chrXIII:324155-324290:-
YMR035W,chrXIII:324443-324483:+
YML116W,chrXIII:32631-32689:+
YMR036C,chrXIII:326878-326991:-
YMR038C,chrXIII:331598-331659:-
YMR039C,chrXIII:332839-333067:-
YMR040W,chrXIII:333629-333724:+
YMR041C,chrXIII:335332-335433:-
YMR042W,chrXIII:335846-335942:+
YMR043W,chrXIII:337133-337204:+
YMR044W,chrXIII:338672-338720:+
YMR047C,chrXIII:344201-344224:-
YMR048W,chrXIII:344380-344413:+
YMR049C,chrXIII:347946-347974:-
YMR052W,chrXIII:351373-351461:+
YMR053C,chrXIII:354689-354757:-
YMR054W,chrXIII:354892-354957:+
YMR055C,chrXIII:358829-358881:-
YMR056C,chrXIII:359705-360177:-
YMR058W,chrXIII:360559-360582:+
YMR059W,chrXIII:362834-362889:+
YML115C,chrXIII:36400-36442:-
YMR060C,chrXIII:364327-364350:-
YMR061W,chrXIII:364525-364550:+
YMR062C,chrXIII:368180-368275:-
YMR063W,chrXIII:368816-368842:+
YMR066W,chrXIII:373324-373352:+
YMR067C,chrXIII:377381-377454:-
YMR068W,chrXIII:378072-378110:+
YMR070W,chrXIII:380734-380754:+
YML114C,chrXIII:38149-38191:-
YMR071C,chrXIII:383077-383177:-
YMR072W,chrXIII:383268-383375:+
YMR073C,chrXIII:384646-384721:-
YMR074C,chrXIII:385239-385277:-
YML113W,chrXIII:38537-38592:+
YMR075W,chrXIII:385534-385606:+
YMR076C,chrXIII:391838-391898:-
YMR077C,chrXIII:394208-394279:-
YML112W,chrXIII:39539-39628:+
YMR078C,chrXIII:396771-396798:-
YMR079W,chrXIII:396971-396996:+
YMR080C,chrXIII:401714-401769:-
YMR081C,chrXIII:403160-403364:-
YMR083W,chrXIII:406649-406832:+
YMR085W,chrXIII:408621-408650:+
YMR086W,chrXIII:411130-411220:+
YML111W,chrXIII:41353-41395:+
YMR087W,chrXIII:414498-414570:+
YMR088C,chrXIII:417138-417170:-
YMR089C,chrXIII:420302-420377:-
YMR090W,chrXIII:421161-421274:+
YMR091C,chrXIII:423401-423476:-
YMR092C,chrXIII:425527-425600:-
YMR093W,chrXIII:425983-426033:+
YMR094W,chrXIII:427811-427844:+
YMR095C,chrXIII:429944-430160:-
YMR096W,chrXIII:430387-430431:+
YMR097C,chrXIII:432561-432619:-
YMR098C,chrXIII:434663-434717:-
YMR099C,chrXIII:437192-437256:-
YMR100W,chrXIII:438263-438435:+
YMR101C,chrXIII:441667-441921:-
YMR102C,chrXIII:444834-444883:-
YMR104C,chrXIII:447818-447907:-
YMR105C,chrXIII:450009-450125:-
YMR106C,chrXIII:452584-452593:-
YML110C,chrXIII:45549-45595:-
YMR107W,chrXIII:455628-455772:+
YMR108W,chrXIII:456458-456833:+
YMR109W,chrXIII:459212-459251:+
YML109W,chrXIII:46132-46204:+
YMR110C,chrXIII:464659-464744:-
YMR111C,chrXIII:466564-466609:-
YMR112C,chrXIII:467082-467335:-
YMR113W,chrXIII:467596-467640:+
YMR114C,chrXIII:470140-470212:-
YMR115W,chrXIII:470309-470372:+
YML131W,chrXIII:4729-4756:+
YMR116C,chrXIII:473386-473491:-
YMR117C,chrXIII:474591-474621:-
YMR118C,chrXIII:475437-475505:-
YMR119W,chrXIII:477748-477840:+
YMR120C,chrXIII:481954-482077:-
YMR121C,chrXIII:482957-483064:-
YMR122W-A,chrXIII:483825-483963:+
YMR123W,chrXIII:486314-486379:+
YMR124W,chrXIII:487215-487236:+
YMR125W,chrXIII:490234-490279:+
YML108W,chrXIII:49299-49372:+
YMR126C,chrXIII:494770-494820:-
YMR127C,chrXIII:496213-496247:-
YMR128W,chrXIII:496434-496462:+
YMR129W,chrXIII:500533-500582:+
YMR130W,chrXIII:504685-504905:+
YMR131C,chrXIII:507519-507539:-
YMR132C,chrXIII:508395-508462:-
YMR133W,chrXIII:508912-509039:+
YML106W,chrXIII:51038-51151:+
YMR135C,chrXIII:512759-512892:-
YMR136W,chrXIII:513771-514014:+
YMR137C,chrXIII:517779-517842:-
YMR138W,chrXIII:517917-517951:+
YMR139W,chrXIII:518650-518820:+
YMR140W,chrXIII:520438-520477:+
YMR142C,chrXIII:524030-524052:-
YMR143W,chrXIII:524643-524702:+
YMR144W,chrXIII:525985-526185:+
YMR145C,chrXIII:529278-529488:-
YMR146C,chrXIII:531333-531435:-
YMR147W,chrXIII:531894-531994:+
YML105C,chrXIII:53274-53340:-
YMR148W,chrXIII:532801-532975:+
YMR149W,chrXIII:533674-533773:+
YMR150C,chrXIII:535343-535391:-
YMR152W,chrXIII:535810-535887:+
YMR153W,chrXIII:537160-537221:+
YMR154C,chrXIII:541000-541031:-
YMR155W,chrXIII:541299-541372:+
YMR156C,chrXIII:543757-543857:-
YMR157C,chrXIII:544833-544881:-
YMR158W,chrXIII:544983-545032:+
YMR160W,chrXIII:547787-547845:+
YMR161W,chrXIII:550451-550565:+
YMR162C,chrXIII:556868-556885:-
YMR163C,chrXIII:559318-559352:-
YMR164C,chrXIII:562337-562463:-
YMR165C,chrXIII:565481-565566:-
YMR166C,chrXIII:567287-567317:-
YMR167W,chrXIII:567629-567656:+
YML104C,chrXIII:56847-56962:-
YMR168C,chrXIII:571913-571991:-
YMR169C,chrXIII:573673-573730:-
